date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:10:47	67/67	---MC-	200	added ('OK')	text/plain	date:Wed,%2007%20Jul%202021%2013:10:44%20GMT	http://www.canadianchopinsociety.com/robots.txt		(from )
09:10:53	28035/28035	---MC-	200	added ('OK')	text/html	date:Wed,%2007%20Jul%202021%2013:10:44%20GMT	http://www.canadianchopinsociety.com/	C:/Users/konra/Downloads/CCS_old/www.canadianchopinsociety.com/index.html	(from )
09:10:54	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2007%20Jul%202021%2013:10:51%20GMT	http://www.canadianchopinsociety.com/xmlrpc.php	C:/Users/konra/Downloads/CCS_old/www.canadianchopinsociety.com/xmlrpc.0.delayed	(from http://www.canadianchopinsociety.com/)
09:10:55	730/730	---MC-	200	added ('OK')	application/rss+xml	etag:%22b674db19369d50742eae76db204ca238%22	http://www.canadianchopinsociety.com/comments/feed	C:/Users/konra/Downloads/CCS_old/www.canadianchopinsociety.com/comments/feed	(from http://www.canadianchopinsociety.com/)
09:10:57	51338/51338	---M--	200	added ('OK')	text/css	date:Mon,%2022%20Feb%202021%2021:02:19%20GMT	http://www.canadianchopinsociety.com/wp-includes/css/dist/block-library/style.min.css?ver=a31ba026e7c8f9162b6b559bfc2cd27d	C:/Users/konra/Downloads/CCS_old/www.canadianchopinsociety.com/wp-includes/css/dist/block-library/style.min56cc.css	(from http://www.canadianchopinsociety.com/)
09:10:58	7830/7830	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Jun%202021%2013:49:02%20GMT	http://www.canadianchopinsociety.com/wp-content/plugins/simple-sitemap/lib/assets/css/simple-sitemap.css?ver=a31ba026e7c8f9162b6b559bfc2cd27d	C:/Users/konra/Downloads/CCS_old/www.canadianchopinsociety.com/wp-content/plugins/simple-sitemap/lib/assets/css/simple-sitemap56cc.css	(from http://www.canadianchopinsociety.com/)
09:10:58	2640/2640	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Jun%202021%2013:48:56%20GMT	http://www.canadianchopinsociety.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.4.1	C:/Users/konra/Downloads/CCS_old/www.canadianchopinsociety.com/wp-content/plugins/contact-form-7/includes/css/stylesc225.css	(from http://www.canadianchopinsociety.com/)
09:10:58	4224/4224	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Dec%202020%2023:17:17%20GMT	http://www.canadianchopinsociety.com/wp-content/plugins/responsive-lightbox/assets/swipebox/swipebox.min.css?ver=2.3.1	C:/Users/konra/Downloads/CCS_old/www.canadianchopinsociety.com/wp-content/plugins/responsive-lightbox/assets/swipebox/swipebox.min254d.css	(from http://www.canadianchopinsociety.com/)
09:10:58	1231/1231	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Jan%202013%2002:51:01%20GMT	http://www.canadianchopinsociety.com/core/css/webkit.css?ver=1.0	C:/Users/konra/Downloads/CCS_old/www.canadianchopinsociety.com/core/css/webkit5152.css	(from http://www.canadianchopinsociety.com/)
09:10:58	709/709	---MC-	200	added ('OK')	application/rss+xml	etag:%2251c0e37f12cc04c7c773b68e0a02a9d5%22	http://www.canadianchopinsociety.com/home-2/feed	C:/Users/konra/Downloads/CCS_old/www.canadianchopinsociety.com/home-2/feed	(from http://www.canadianchopinsociety.com/)
09:10:58	7137/7137	---M--	200	added ('OK')	text/css	date:Sat,%2016%20Feb%202013%2002:48:57%20GMT	http://www.canadianchopinsociety.com/core/css/core.css?ver=1.0	C:/Users/konra/Downloads/CCS_old/www.canadianchopinsociety.com/core/css/core5152.css	(from http://www.canadianchopinsociety.com/)
09:10:59	831/831	---M--	200	added ('OK')	text/css	date:Mon,%2004%20Mar%202019%2017:34:46%20GMT	http://www.canadianchopinsociety.com/wp-content/themes/chopin/wsi.css?ver=1.0	C:/Users/konra/Downloads/CCS_old/www.canadianchopinsociety.com/wp-content/themes/chopin/wsi5152.css	(from http://www.canadianchopinsociety.com/)
09:10:59	28992/28992	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Feb%202013%2020:52:52%20GMT	http://www.canadianchopinsociety.com/wp-content/themes/chopin/style.css?ver=a31ba026e7c8f9162b6b559bfc2cd27d	C:/Users/konra/Downloads/CCS_old/www.canadianchopinsociety.com/wp-content/themes/chopin/style56cc.css	(from http://www.canadianchopinsociety.com/)
